"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020087956","","0","","","","1","1"
"2020006616","","0","OK","9970GH","2020","7","2"
"2020049166","","0","IL","632946ST","2020","7","2"
"2020080256","","0","NY","2789C3","2018","7","2"
"2020075947","","0","ME","25-99617","2025","7","1"
"2020075947","","0","FL","9945CR","2021","7","2"
"2020037955","","0","TN","078188T","2020","7","2"
"2020016551","","0","ON","R6268Y","2020","7","1"
"2020065523","","0","MS","089216A","2021","7","2"
"2020055644","","0","IN","P527235","2021","7","1"
"2020055644","","0","GA","TT66C09","2020","7","2"
"2020057518","","0","ON","R4553L","2020","7","1"
"2020092015","","0","OK","2352FL","2020","7","1"
"2020044998","","0","OK","2363JY","2016","7","1"
"2020041730","","0","PA","XJT6292","2020","8","2"
"2020059436","","0","TN","015992T","2020","7","2"
"2020010725","","0","PA","XGM5097","2021","3","2"
"2020040554","","0","PA","XLJ6305","9999","3","1"
"2020065648","","0","","","","6","1"
"2020089878","","0","PA","PT9390K","2020","7","2"
"2021001893","","0","ON","CHWD240","2030","7","1"
"2021001429","","0","ME","412125Z","2041","7","1"
"2021001429","","0","IL","685924T","2021","7","2"
"2020009147","","0","PA","PT109C8","2099","7","2"
"2020063380","","0","NE","23351C","2021","7","1"
"2020063380","","0","TN","U260425","2021","7","2"
"2020098064","","0","OR","HV45207","2020","7","1"
"2020051129","","0","PA","XCN3294","2020","6","2"
"2020101175","","0","NJ","TTA91T","2021","6","1"
"2020101175","","0","IN","P720653","2021","7","2"
"2020080442","","0","ID","TN770","2021","7","1"
"2020042348","","0","ME","438289Z","2020","7","1"
"2020042348","","0","PA","PT789J5","2020","7","2"
"2020076071","","0","PA","XGS2061","2020","5","1"
"2020065374","","0","MI","E198758","2020","7","2"
"2020064015","","0","ME","234244F","2020","7","1"
"2020055683","","0","OH","TRL5362","2020","7","1"
"2020032053","","0","IL","477430ST","2020","7","2"
"2020057376","","0","PA","PT4219P","","7","2"
"2020090216","","0","ME","42TLR2804Z","2099","7","1"
"2020046921","","0","PA","PT3497F","1984","3","2"
"2020036912","","0","IN","P5330343","2020","6","1"
"2020105431","","0","PA","PT154F2","2020","7","2"
"2020063243","","0","NJ","TWT15V","2021","7","1"
"2020111244","","0","QC","RB4793A","2009","7","2"
"2020010261","","0","IN","P163163","2020","7","1"
"2020065202","","0","AL","A145173","2020","7","1"
"2020030946","","0","NJ","TCM63A","2005","7","1"
"2020025749","","0","MI","D450567","2099","7","1"
"2020074380","","0","PA","PT5206Y","2020","8","1"
"2020000380","","0","PA","PT8831L","2020","6","1"
"2020047334","","0","NC","AJ55883","2099","7","3"
"2020076689","","0","OK","9333KO","2021","7","2"
"2020076689","","0","TN","U982684","2021","7","3"
"2020060433","","0","AR","3DC361","2020","7","1"
"2020058822","","0","TN","T834645","2020","7","2"
"2020064110","","0","PA","XCD7556","2022","8","2"
"2020036881","","0","ID","TM5899","2020","7","1"
"2020045800","","0","PA","PT8816S","2020","6","2"
"2020110899","","0","OH","TRN7132","2021","7","1"
"2020110899","","0","AZ","53713H","2020","7","2"
"2020110899","","0","MO","75L1FE","2021","7","3"
"2020110899","","0","IL","436979ST","2021","7","5"
"2020063134","","0","PA","NONE","2020","8","2"
"2020013496","","0","NC","AB96802","2099","7","1"
"2020064524","","0","PA","PT347D0","1993","7","2"
"2020067539","","0","IN","P923740","2019","7","1"
"2020080027","","0","IL","T481683","2020","7","1"
"2020023247","","0","ME","2049872","2020","7","1"
"2020005914","","0","PA","PT837F2","2016","7","2"
"2020093559","","0","ME","24-1833B","2020","7","3"
"2020081598","","0","ME","TLR3029105","2020","6","1"
